STITCH,Individual Side Effect,Side Effect Name
CID000010631,C0700590,Hyperhidrosis
CID000010631,C1269955,tumour invasion
CID000010631,C0012624,intervertebral discitis
CID000010631,C0015376,Extravasation
CID000010631,C0853494,mediastinoscopy
CID000010631,C0854302,lymphoproliferative disorder
CID000010631,C0020431,hyperbaric oxygen therapy
CID000010631,C0740314,ultrasound breast abnormal
CID000010631,C0040440,tooth extraction
CID000010631,C1142162,injection site scar
CID000010631,C0017411,genital disorder female
CID000010631,C0234022,anorgasmia
CID000010631,C0398952,gingival operation
CID000010631,C0919804,liver carcinoma ruptured
CID000010631,C0577559,Mass
CID000010631,C0033247,proctocolitis
CID000010631,C0270994,myopathy steroid
CID000010631,C0919561,congenital pyelocaliectasis
CID000010631,C0558333,rectal polypectomy
CID000010631,C0020507,Hyperplasia
CID000010631,C0160237,subdural haemorrhage
CID000010631,C0549396,breast necrosis
CID000010631,C0587094,breast calcifications
CID000010631,C0853971,breast cancer stage iii
CID000010631,C0005956,bone marrow disorder
CID000010631,C0877161,drug exposure during pregnancy
CID000010631,C1264195,refractory anaemia with ringed sideroblasts
CID000010631,C0855735,biopsy site unspecified abnormal
CID000010631,C0036502,sebaceous gland disorder
CID000010631,C1140680,Ovarian cancer
CID000010631,C0030185,paget's disease of the breast
CID000010631,C1739109,mediastinitis
CID000010631,C0041318,meningitis tuberculous
CID000010631,C0234215,Discomfort
CID000010631,C0154260,mineral metabolism disorder
CID000010631,C0195189,culdoplasty
CID000010631,C1868738,sinus antrostomy
CID000010631,C0520600,cardio-respiratory arrest
CID000010631,C0853500,endoscopy abnormal
CID000010631,C1328363,abdominal wall mass
CID000010631,C0041959,ureteritis
CID000010631,C2981158,Loss of libido
CID000010631,C0267373,intestinal haemorrhage
CID000010631,C0883301,catheter placement
CID000010631,C0185221,bone debridement
CID000010631,C0877225,bone density decreased
CID000010631,C0267096,oesophageal injury
CID000010631,C0151671,glucose tolerance decreased
CID000010631,C0729958,lung transplant
CID000010631,C0197554,iridectomy
CID000010631,C0740355,lumbar puncture abnormal
CID000010631,C0151775,injection site mass
CID000010631,C0740298,biopsy endometrium abnormal
CID000010631,C0029453,osteopenia
CID000010631,C1504346,pruritus allergic
CID000010631,C0037274,dermatosis
CID000010631,C0041747,unintended pregnancy
CID000010631,C0191322,skin lesion excision
CID000010631,C0877305,postoperative wound complication
CID000010631,C0392447,radiculitis brachial
CID000010631,C0859078,maternal drugs affecting foetus
CID000010631,C0031042,pericardial excision
CID000010631,C0948701,metastases to thorax
CID000010631,C0740852,upper airway obstruction
CID000010631,C0220656,malignant ascites
CID000010631,C0002624,retrograde amnesia
CID000010631,C0191925,mammoplasty
CID000010631,C0036093,salivary gland disorder
CID000010631,C1096370,cardiac stress test
CID000010631,C0239295,oesophageal candidiasis
CID000010631,C0032320,pneumoperitoneum
CID000010631,C0003128,Anovulatory cycle
CID000010631,C0877410,wound closure
CID000010631,C0524620,metabolic syndrome
CID000010631,C0877418,blood culture positive
CID000010631,C0948662,carbohydrate antigen 27.29 increased
CID000010631,C1167779,neutropenic infection
CID000010631,C1297885,open reduction of fracture
CID000010631,C0600142,Menopausal symptoms
CID000010631,C0397942,aortic aneurysm repair
CID000010631,C0007959,peroneal muscular atrophy
CID000010631,C0017178,Gastrointestinal disorder
CID000010631,C0155358,scleral disorder
CID000010631,C0836911,exposure to communicable disease
CID000010631,C1535993,bone marrow oedema
CID000010631,C0581118,ultrasound scan abnormal
CID000010631,C1112615,skin neoplasm excision
CID000010631,C0156318,breast fibrosis
CID000010631,C0851535,prostatic disorder
CID000010631,C0153676,metastases to lung
CID000010631,C0472692,postmastectomy lymphoedema syndrome
CID000010631,C0279025,hormone therapy
CID000010631,C0162164,pulmonary valve stenosis
CID000010631,C0035613,rift valley fever
CID000010631,C0684550,metastases to spine
CID000010631,C0263870,intervertebral disc space narrowing
CID000010631,C0740306,biopsy breast abnormal
CID000010631,C1096559,biopsy
CID000010631,C0424091,decreased interest
CID000010631,C1096216,oestrogen receptor assay positive
CID000010631,C0007302,chondropathy
CID000010631,C0241148,skin plaque
CID000010631,C1168144,anticoagulation drug level above therapeutic
CID000010631,C0851845,eyelid infection
CID000010631,C0151785,mucous membrane disorder
CID000010631,C0004936,Mental disorder
CID000010631,C0855243,inadequate lubrication
CID000010631,C0151828,Injection site pain
CID000010631,C0948649,liver transplant
CID000010631,C0948123,metastases to abdominal wall
CID000010631,C0556783,joint manipulation
CID000010631,C0948129,metastases to nasal sinuses
CID000010631,C0011644,Scleroderma
CID000010631,C0151773,bone marrow depression
CID000010631,C0085076,breast reconstruction
CID000010631,C1096616,contralateral breast cancer
CID000010631,C0855089,b-cell lymphoma recurrent
CID000010631,C0042421,vasectomy
CID000010631,C0236650,vascular dementia
CID000010631,C1261980,therapeutic product ineffective for unapproved indication
CID000010631,C0877292,metastases to stomach
CID000010631,C0877359,Liver function test abnormal
CID000010631,C0151734,injection site inflammation
CID000010631,C0151735,Injection site reaction
CID000010631,C0042568,vertebrobasilar insufficiency
CID000010631,C0238729,axillary mass
CID000010631,C0852768,fibroadenoma
CID000010631,C0521170,Osteoporotic fracture
CID000010631,C0855337,electrocardiogram t wave peaked
CID000010631,C0263634,excessive granulation tissue
CID000010631,C0008707,osteomyelitis chronic
CID000010631,C0346989,metastases to peritoneum
CID000010631,C1112431,massage
CID000010631,C2609111,germ cell cancer
CID000010631,C0272210,mononucleosis syndrome
CID000010631,C0852694,cartilage injury
CID000010631,C0276908,pneumocystis jiroveci infection
CID000010631,C0240225,hepatic mass
CID000010631,C0007869,cervical erosion
CID000010631,C0239233,early satiety
CID000010631,C0005887,body dysmorphic disorder
CID000010631,C2609160,cardiac septal defect
CID000010631,C0423428,macular scar
CID000010631,C0280089,carcinoid tumour pulmonary
CID000010631,C0235955,Purpura
CID000010631,C0520594,breast microcalcification
CID000010631,C2609434,inner ear disorder
CID000010631,C1328379,bronchoalveolar lavage abnormal
CID000010631,C0684833,metastases to chest wall
CID000010631,C0021177,libido increased
CID000010631,C0238113,radiation oesophagitis
CID000010631,C0267792,hepatobiliary disease
CID000010631,C0151512,injection site atrophy
CID000010631,C0003838,arterial occlusive disease
CID000010631,C0684686,metastases to soft tissue
CID000010631,C0206633,angiomyolipoma
CID000010631,C1142215,application site abscess
CID000010631,C0948549,medical device removal
CID000010631,C0342245,diabetic eye disease
CID000010631,C0854375,mucosal haemorrhage
CID000010631,C0268000,Fluid retention
CID000010631,C0235971,alpha 1 foetoprotein increased
CID000010631,C2363984,breast operation
CID000010631,C0241075,skin induration
CID000010631,C1504358,false negative pregnancy test
CID000010631,C0748390,retroperitoneal lymphadenopathy
CID000010631,C2363749,hyperdynamic left ventricle
CID000010631,C0278486,breast cancer stage ii
CID000010631,C0877318,medical device implantation
CID000010631,C0278488,breast cancer metastatic
CID000010631,C0152415,ankyloglossia congenital
CID000010631,C0085532,arteriogram coronary
CID000010631,C3665346,Blindness
CID000010631,C0023533,Vaginal discharge
CID000010631,C0159849,patella fracture
CID000010631,C0858911,blood pressure immeasurable
CID000010631,C1096267,injection site discomfort
CID000010631,C0404572,infertility female
CID000010631,C0410916,death neonatal
CID000010631,C0196576,carpal tunnel decompression
CID000010631,C0235146,euphoric mood
CID000010631,C0853049,exercise test abnormal
CID000010631,C0853825,meningioma benign
CID000010631,C0853125,blood follicle stimulating hormone decreased
CID000010631,C0948166,ethmoid sinus surgery
CID000010631,C1261030,chest wall operation
CID000010631,C2979982,Vaginal haemorrhage
CID000010631,C0003506,aortic valve replacement
CID000010631,C0333516,tumour necrosis
CID000010631,C0542044,incoherent
CID000010631,C0853703,blood immunoglobulin m
CID000010631,C0176866,haemorrhoid operation
CID000010631,C0037926,spinal cord compression
CID000010631,C0851119,cyst aspiration
CID000010631,C0854253,pulmonary radiation injury
CID000010631,C0232766,asterixis
CID000010631,C0401013,fungal peritonitis
CID000010631,C0009450,Infection
CID000010631,C0746883,febrile neutropenia
CID000010631,C0086966,selective abortion
CID000010631,C0023218,Muscle spasms
CID000002727,C0851560,ear disorder
CID000002727,C0016664,stress fracture
CID000002727,C0277890,blood pressure diastolic decreased
CID000002727,C0241237,dysstasia
CID000002727,C0154287,inadequate diet
CID000002727,C0278134,sensory loss
CID000002727,C1141957,disease progression
CID000002727,C0919887,drug ineffective
CID000002727,C0232459,Dyspepsia
CID000002727,C0948857,electrocardiogram repolarisation abnormality
CID000002727,C0042023,pollakiuria
CID000002727,C0949690,spinal osteoarthritis
CID000002727,C0262544,lumbar vertebral fracture
CID000002727,C0852154,bladder disorder
CID000002727,C0037933,spinal disorder
CID000002727,C0153999,benign uterine neoplasm
CID000002727,C0033247,proctocolitis
CID000002727,C0011432,sensitivity of teeth
CID000002727,C0187830,leg amputation
CID000002727,C0024633,mallory-weiss syndrome
CID000002727,C0740306,biopsy breast abnormal
CID000002727,C0919568,impatience
CID000002727,C0007193,congestive cardiomyopathy
CID000002727,C0877217,abasia
CID000002727,C0158288,lumbar spinal stenosis
CID000002727,C0948027,pharmaceutical product complaint
CID000002727,C0877046,tooth infection
CID000002727,C0541900,Alcohol intolerance
CID000002727,C1963940,vascular graft
CID000002727,C0155967,ulcer haemorrhage
CID000002727,C0155966,diverticulum
CID000002727,C0162830,Photosensitivity reaction
CID000002727,C0235874,condition aggravated
CID000002727,C0555120,leukocyturia
CID000002727,C1141930,post procedural complication
CID000002727,C0853777,blood albumin decreased
CID000002727,C0186193,hip arthroplasty
CID000002727,C1262141,poor quality sleep
CID000002727,C0947978,therapeutic procedure
CID000002727,C0687133,Drug interaction
CID000002727,C0188602,toe amputation
CID000002727,C0272774,foot fracture
CID000002727,C0151683,neutrophilia
CID000002727,C0162533,Porphyria non-acute
CID000002727,C0740321,catheterisation cardiac
CID000002727,C0948094,laziness
CID000002727,C0151747,renal tubular disorder
CID000002727,C0730285,macular oedema
CID000002727,C0158266,intervertebral disc degeneration
CID000002727,C0237849,skin desquamation
CID000002727,C0021775,intermittent claudication
CID000002727,C0155652,acute myocardial infarction
CID000002727,C0007273,carotid artery disease
CID000002727,C0852909,blood bicarbonate decreased
CID000002727,C0178316,upper limb fracture
CID000002727,C0151521,overgrowth bacterial
CID000002727,C1504458,cataract operation
CID000002727,C0011946,dialysis
CID000002727,C0029453,osteopenia
CID000002727,C0919636,spinal fusion surgery
CID000002727,C0853692,blood triglycerides increased
CID000002727,C0003838,arterial occlusive disease
CID000002727,C0919924,pulmonary toxicity
CID000002727,C0581912,sensation of heaviness
CID000002727,C0860163,diabetic gastropathy
CID000002727,C0853848,infection in an immunocompromised host
CID000002727,C0579121,diabetes mellitus inadequate control
CID000002727,C0948605,no therapeutic response
CID000002727,C0022354,Jaundice cholestatic
CID000002727,C0408591,intervertebral disc operation
CID000002727,C0349782,ischaemic cardiomyopathy
CID000002727,C0878773,hypertonic bladder
CID000002727,C0267176,diabetic gastroparesis
CID000002727,C0282638,antibiotic prophylaxis
CID000002727,C0020175,Hunger
CID000002727,C0852740,breast lump removal
CID000002727,C0948594,musculoskeletal discomfort
CID000002727,C0920149,bone densitometry
CID000002727,C0242698,left ventricular dysfunction
CID000002727,C0392618,postoperative infection
CID000002727,C0858911,blood pressure immeasurable
CID000002727,C0302295,Rash
CID000002727,C0854242,angiodysplasia
CID000002727,C0948681,blood glucose abnormal
CID000002727,C1167981,hypoaesthesia
CID000002727,C0853562,scan myocardial perfusion
CID000002727,C0542203,Fluid retention
CID000002727,C0520854,mean arterial pressure decreased
CID000002727,C0002965,angina unstable
CID000002727,C0235490,peripheral ischaemia
CID000002727,C0853149,blood lactate dehydrogenase increased
CID000002727,C0522067,hepatic pain
CID000002727,C0152965,staphylococcal bacteraemia
CID000002727,C0264916,bundle branch block bilateral
CID000002727,C0011265,senile dementia
CID000002727,C0162566,Porphyria non-acute
CID000002727,C0151814,coronary artery occlusion
CID000002727,C1443060,feeling abnormal
CID000051634,C0028064,niemann-pick disease
CID000051634,C0853150,Nerve conduction studies abnormal
CID000051634,C0185240,bone lesion
CID000051634,C0856050,diet refusal
CID000051634,C0235721,Sensation of heaviness
CID000051634,C0919672,multi-organ failure
CID000051634,C0919887,drug ineffective
CID000051634,C1141957,disease progression
CID000051634,C0948238,erectile dysfunction
CID000051634,C0023222,Pain in extremity
CID000051634,C0004936,Mental disorder
CID000051634,C0919589,gastrostomy
CID000051634,C0158461,acquired claw toe
CID000051634,C0234215,Discomfort
CID000051634,C0281361,adenocarcinoma pancreas
CID000051634,C0855002,lung carcinoma cell type unspecified recurrent
CID000051634,C0233794,Memory impairment
CID000051634,C0877211,general physical health deterioration
CID000051634,C0235031,Neurological symptom
CID000051634,C0333222,septic embolus
CID000051634,C0948344,escherichia urinary tract infection
CID000051634,C0020580,Hypoaesthesia
CID000051634,C1828210,maculopathy
CID000051634,C0022362,jaw disorder
CID000051634,C0235874,condition aggravated
CID000051634,C0521849,drug interaction
CID000051634,C1608397,device occlusion
CID000051634,C0026916,mycobacterium avium complex infection
CID000051634,C0023521,krabbe's disease
CID000051634,C0272774,foot fracture
CID000051634,C0751576,vocal cord paresis
CID000051634,C1291077,Abdominal distension
CID000051634,C0231686,Gait disturbance
CID000051634,C0549209,Feeling jittery
CID000051634,C0855228,eating disorder symptom
CID000051634,C0160059,joint sprain
CID000051634,C0015393,Eye disorder
CID000051634,C0948352,injury asphyxiation
CID000051634,C0017178,Gastrointestinal disorder
CID000051634,C0856223,mental disorder
CID000051634,C0029453,osteopenia
CID000051634,C0023066,laryngospasm
CID000051634,C2242996,Paraesthesia
CID000051634,C0205204,scab
CID000051634,C0027765,Nervous system disorder
CID000051634,C1971624,Decreased appetite
CID000051634,C0274430,vaccination complication
CID000051634,C0028643,Hypoaesthesia
CID000051634,C1096117,off label use
CID000051634,C0948605,no therapeutic response
CID000051634,C0026857,Musculoskeletal disorder
CID000051634,C0005684,Bladder cancer
CID000051634,C1504356,chitotriosidase decreased
CID000051634,C1504355,chitotriosidase increased
CID000051634,C0011570,Depression
CID000051634,C0392171,Influenza like illness
CID000051634,C0751295,Amnesia
CID000051634,C0026827,hypotonia
CID000051634,C0235296,Abdominal pain upper
CID000051634,C0007760,cerebellar syndrome
CID000051634,C0232462,Decreased appetite
CID000051634,C0235698,Abdominal distension
CID000051634,C0853117,blood testosterone decreased
CID000051634,C0193959,adenotonsillectomy
CID000051634,C0852411,mental impairment
CID000051634,C0011071,sudden death
CID000051634,C0851353,Blood and lymphatic system disorders
CID000051634,C0151892,retinal pigmentation
CID000051634,C0852552,abnormal behaviour
CID000051634,C0270330,speech disorder developmental
CID000051634,C0740765,activities of daily living impaired
CID000051634,C0085084,motor neurone disease
CID000051634,C0947846,gastrointestinal disorder
CID000051634,C0877326,bone infarction
CID000051634,C0856977,aggression
CID000051634,C0042790,Visual impairment
CID000051634,C0221725,bronchial obstruction
CID000051634,C0948374,large intestinal ulcer
CID000051634,C0851536,administration site reaction
CID000051634,C0239946,hepatic fibrosis
CID000051634,C0235827,therapeutic response decreased
CID000051634,C0151313,peripheral sensory neuropathy
CID000051634,C2363747,neurological decompensation
CID000051634,C0547030,Visual impairment
CID000051634,C1868877,mechanical ventilation
CID000051634,C0869219,speech disorder
CID000051634,C1964000,csf protein
CID000051634,C1964002,leukoencephalopathy
CID000051634,C1535950,gastrointestinal inflammation
CID000051634,C0338656,Cognitive disorder
CID000051634,C0948459,vascular cauterisation
CID000051634,C0086439,decreased activity
CID000051634,C0023218,Muscle spasms
CID000051634,C0235018,Hypoaesthesia
CID000004211,C0341697,renal impairment
CID000004211,C0947912,Muscular weakness
CID000004211,C0232459,Dyspepsia
CID000004211,C0149904,Hepatitis cholestatic
CID000004211,C0595930,Blood cholesterol increased
CID000004211,C0392676,Hyperpyrexia
CID000004211,C0235996,hepatic enzyme
CID000004211,C0004936,Mental disorder
CID000004211,C0234238,Pain
CID000004211,C1141880,bone density increased
CID000004211,C1096135,neutrophil count decreased
CID000004211,C0438717,transaminases increased
CID000004211,C0855644,blood uric acid decreased
CID000004211,C0036982,shock haemorrhagic
CID000004211,C0853761,blood potassium decreased
CID000004211,C0585186,Dermatitis atopic
CID000004211,C0877211,general physical health deterioration
CID000004211,C0270611,Brain injury
CID000004211,C1869066,hypovolaemic shock
CID000004211,C1167791,skin toxicity
CID000004211,C0858041,Blood triglycerides increased
CID000004211,C0233715,Speech disorder
CID000004211,C0520803,overdose
CID000004211,C0235874,condition aggravated
CID000004211,C0919823,cytolytic hepatitis
CID000004211,C1291078,Epigastric discomfort
CID000004211,C0877171,blood alkaline phosphatase abnormal
CID000004211,C0852793,blood cortisol increased
CID000004211,C0852911,blood alkaline phosphatase increased
CID000004211,C0271738,adrenal suppression
CID000004211,C1112537,neurological examination abnormal
CID000004211,C0853683,kidney infection
CID000004211,C0549288,pelvic venous thrombosis
CID000004211,C0861113,chemotherapeutic drug level increased
CID000004211,C0015397,disorder of globe
CID000004211,C1142499,gastrointestinal toxicity
CID000004211,C0017178,Gastrointestinal disorder
CID000004211,C0151529,bleeding time prolonged
CID000004211,C0042075,Urinary tract disorder
CID000004211,C0730362,Maculopathy
CID000004211,C0085692,Cystitis haemorrhagic
CID000004211,C1167999,antiviral drug level above therapeutic
CID000004211,C0043251,Injury
CID000004211,C0855619,alanine aminotransferase abnormal
CID000004211,C0022107,Irritability
CID000004211,C0023380,Lethargy
CID000004211,C0853692,blood triglycerides increased
CID000004211,C0029119,Fungal infection
CID000004211,C0494165,metastases to liver
CID000004211,C1510497,Lenticular opacities
CID000004211,C0267792,hepatobiliary disease
CID000004211,C0221333,hypouricaemia
CID000004211,C0151763,hepatocellular injury
CID000004211,C0023976,long qt syndrome
CID000004211,C0851341,Infestation
CID000004211,C1112511,dehydroepiandrosterone decreased
CID000004211,C0001807,Aggression
CID000004211,C1096379,adrenal gland cancer metastatic
CID000004211,C0178874,neoplasm progression
CID000004211,C0450027,accidental exposure
CID000004211,C0751295,Amnesia
CID000004211,C0027765,Nervous system disorder
CID000004211,C0279579,adrenocortical carcinoma
CID000004211,C3665347,Visual impairment
CID000004211,C0155842,parapharyngeal abscess
CID000004211,C0011071,sudden death
CID000004211,C0851353,Blood and lymphatic system disorders
CID000004211,C2609418,stevens-johnson syndrome
CID000004211,C0948048,malignant neoplasm progression
CID000004211,C1955743,Mineralocorticoid deficiency
CID000004211,C0438216,blood count abnormal
CID000004211,C0151686,Growth retardation
CID000004211,C0877406,performance status decreased
CID000004211,C1306341,mental disability
CID000004211,C0178298,Skin disorder
CID000004211,C1963916,neuropathic pain
CID000004211,C0265050,vena cava thrombosis
CID000004211,C0858226,Blood cholesterol increased
CID000004211,C0333355,mucosal inflammation
CID000004211,C0853144,drug level below therapeutic
CID000004211,C0333516,tumour necrosis
CID000004211,C0281856,Pain
CID000004211,C0853149,blood lactate dehydrogenase increased
CID000004211,C0241910,autoimmune hepatitis
CID000004211,C0013378,dysgeusia
CID000004211,C1869070,disturbance in attention
CID000004211,C2830004,Somnolence
CID000004211,C0544618,orthostatic hypertension
CID000004211,C0869219,speech disorder
CID000004211,C2363982,visual disturbance
CID000004211,C0877237,traumatic fracture
CID000004211,C0009450,Infection
CID000004211,C0746883,febrile neutropenia
CID000004211,C0877104,retinal toxicity
CID000003059,C0424091,decreased interest
CID000003059,C0242339,dyslipidaemia
CID000003059,C0860916,ceruloplasmin decreased
CID000003059,C0740313,nuclear magnetic resonance imaging abnormal
CID000003059,C0040440,tooth extraction
CID000003059,C0740319,physical assault
CID000003059,C0038325,Erythema multiforme
CID000003059,C0271240,blindness unilateral
CID000003059,C0026636,oral disorder
CID000003059,C0155910,pulmonary congestion
CID000003059,C0852091,bone disorder
CID000003059,C1565489,Renal failure
CID000003059,C0243001,abdominal abscess
CID000003059,C0011432,sensitivity of teeth
CID000003059,C0854030,blood creatine decreased
CID000003059,C0877211,general physical health deterioration
CID000003059,C0877217,abasia
CID000003059,C0154472,alcoholism
CID000003059,C0337629,economic problem
CID000003059,C0349506,Photosensitivity reaction
CID000003059,C0700361,emotional distress
CID000003059,C0521854,drug tolerance
CID000003059,C0853655,mean cell volume abnormal
CID000003059,C1619705,periarthritis
CID000003059,C0948027,pharmaceutical product complaint
CID000003059,C0856223,mental disorder
CID000003059,C0235971,alpha 1 foetoprotein increased
CID000003059,C0947881,lung infection
CID000003059,C0742352,chest wall mass
CID000003059,C0600028,loose tooth
CID000003059,C0948525,musculoskeletal stiffness
CID000003059,C0497406,overweight
CID000003059,C2830004,Somnolence
CID000003059,C0853013,diverticular perforation
CID000003059,C0751466,phonophobia
CID000003059,C0948238,erectile dysfunction
CID000003059,C0858342,pco2 decreased
CID000003059,C0178417,anhedonia
CID000003059,C0151664,gastrointestinal perforation
CID000003059,C0016506,foot deformity
CID000003059,C0857035,Anaphylactic shock
CID000003059,C1696083,oral cavity fistula
CID000003059,C0040185,tibia fracture
CID000003059,C1444680,posterior capsule opacification
CID000003059,C1869039,dysthymic disorder
CID000003059,C0242645,blue toe syndrome
CID000003059,C0920169,drug screen positive
CID000003059,C0749560,toe operation
CID000003059,C0543698,Drug reaction with eosinophilia and systemic symptoms
CID000003059,C0038587,withdrawal syndrome
CID000003059,C0233407,Disorientation
CID000003059,C0032320,pneumoperitoneum
CID000003059,C0151692,impaired healing
CID000003059,C0238124,Necrotising fasciitis
CID000003059,C0185387,joint stabilisation
CID000003059,C0860112,drug abuser
CID000003059,C0185131,bone operation
CID000003059,C0948008,ischaemic stroke
CID000003059,C0185221,bone debridement
CID000003059,C0948715,infusion related reaction
CID000003059,C0417742,bite
CID000003059,C0700632,endodontic procedure
CID000003059,C0185240,bone lesion
CID000003059,C0521158,neoplasm recurrence
CID000003059,C0687713,Gastrointestinal pain
CID000003059,C0333313,primary sequestrum
CID000003059,C0235165,mania
CID000003059,C0333314,secondary sequestrum
CID000003059,C0948549,medical device removal
CID000003059,C0740852,upper airway obstruction
CID000003059,C0038990,Hyperhidrosis
CID000003059,C0008370,Cholestasis
CID000003059,C0158619,congenital mitral valve incompetence
CID000003059,C0029461,osteoradionecrosis
CID000003059,C0878773,hypertonic bladder
CID000003059,C0852625,injection site erythema
CID000003059,C0042018,calculus urinary
CID000003059,C0016642,internal fixation of fracture
CID000003059,C0155652,acute myocardial infarction
CID000003059,C0265101,carotid artery occlusion
CID000003059,C2609418,stevens-johnson syndrome
CID000003059,C0011079,debridement
CID000003059,C0035519,face lift
CID000003059,C1142275,poor quality drug administered
CID000003059,C0039751,theft
CID000003059,C0341212,gastrointestinal fistula
CID000003059,C0220870,Dizziness
CID000003059,C0011370,dental implantation
CID000003059,C0423390,retinal artery embolism
CID000003059,C1112413,peripheral artery aneurysm
CID000003059,C1535993,bone marrow oedema
CID000003059,C0852733,completed suicide
CID000003059,C0185216,sequestrectomy
CID000003059,C0547030,Visual impairment
CID000003059,C0013378,dysgeusia
CID000003059,C0241669,venous occlusion
CID000003059,C1142159,intentional misuse
CID000003059,C0860901,protein total decreased
CID000003059,C0162287,abnormal faeces
CID000003059,C0010399,crying
CID000003059,C0877027,joint range of motion decreased
CID000003059,C0948361,impaired work ability
CID000003059,C0206277,Fatal outcomes
CID000003059,C0852949,arteriopathic disease
CID000003059,C1443060,feeling abnormal
CID000002631,C0343404,morganella infection
CID000002631,C0267988,hyperproteinaemia
CID000002631,C0264733,dilatation ventricular
CID000002631,C0558401,skin laceration
CID000002631,C0155910,pulmonary congestion
CID000002631,C0343363,gastroenteritis rotavirus
CID000002631,C0231835,respiratory rate increased
CID000002631,C0013203,drug resistance
CID000002631,C0852274,neonatal hypoxia
CID000002631,C1142503,anticonvulsant drug level decreased
CID000002631,C1141948,troponin increased
CID000002631,C0852913,blood amylase increased
CID000002631,C2242529,stem cell transplant
CID000002631,C0238020,biliary adenoma
CID000002631,C0192863,colectomy
CID000002631,C0004045,neonatal asphyxia
CID000002631,C0563560,weight bearing difficulty
CID000002631,C0238436,sternal fracture
CID000002631,C1096730,staphylococcal infection
CID000002631,C0238530,17-hydroxyprogesterone increased
CID000002631,C0854326,escherichia infection
CID000002631,C0025292,meningitis haemophilus
CID000002631,C0006110,brain death
CID000002631,C0473124,perirenal haematoma
CID000002631,C0019214,hepatosplenomegaly
CID000002631,C0152445,gallbladder oedema
CID000002631,C0151683,neutrophilia
CID000002631,C0235431,blood creatinine increased
CID000002631,C0039496,temporomandibular joint syndrome
CID000002631,C0405580,adrenal cortical insufficiency
CID000002631,C0920250,meningoencephalitis bacterial
CID000002631,C0158266,intervertebral disc degeneration
CID000002631,C0860896,monoclonal immunoglobulin present
CID000002631,C0018482,haemophilus infection
CID000002631,C0237849,skin desquamation
CID000002631,C0032320,pneumoperitoneum
CID000002631,C0040793,anuria
CID000002631,C1761613,conjunctival hyperaemia
CID000002631,C0853857,cellulitis staphylococcal
CID000002631,C0011946,dialysis
CID000002631,C0023860,listeriosis
CID000002631,C0853326,dyspnoea exacerbated
CID000002631,C1142463,blood stem cell transplant failure
CID000002631,C0854062,blood fibrinogen
CID000002631,C1262281,thrombosis in device
CID000002631,C0267953,pancreatic necrosis
CID000002631,C1695892,infantile apnoeic attack
CID000002631,C0949091,candida sepsis
CID000002631,C0270795,monoparesis
CID000002631,C1167648,gastrointestinal infection
CID000002631,C1167681,oxygen consumption increased
CID000002631,C0311245,congenital cystic kidney disease
CID000002631,C0158889,foetal growth retardation
CID000002631,C0876926,brain damage
CID000002631,C0238106,clostridium difficile colitis
CID000002631,C0151976,jejunal ulcer
CID000002631,C0152081,pustular psoriasis
CID000002631,C0948204,citrobacter infection
CID000002631,C0854404,iatrogenic injury
CID000002631,C0854369,apallic syndrome
CID000002631,C1142024,bladder cyst
CID000002631,C0730018,foetal heart rate abnormal
CID000002631,C0025162,toxic dilatation of colon
CID000002631,C0232720,faeces pale
CID000002631,C1096497,csf neutrophil count increased
CID000002631,C0853149,blood lactate dehydrogenase increased
CID000002631,C1720775,renal tubular necrosis
CID000002631,C1869076,clostridial infection
CID000002631,C0242966,sepsis syndrome
CID000002631,C0877025,prothrombin time prolonged
CID000002631,C0023760,lip disorder
CID000002631,C0854794,hepatic neoplasm malignant
CID000002631,C0033700,proteus infection
CID000002631,C1112565,pneumatosis
CID000002631,C0853719,csf culture positive
CID000002631,C1096514,blood ph decreased
CID000002631,C0521465,toxic skin eruption
CID000002631,C0021931,feeding tube insertion
CID000002631,C1262005,ischaemic cerebral infarction
CID000002631,C0032319,pneumopericardium
CID000002631,C0861143,granulocyte count decreased
CID000002631,C0008728,allergic granulomatous angiitis
CID000002631,C0235659,foetal movements decreased
CID000002631,C1444565,cardiopulmonary failure
CID000002631,C0877055,acute generalised exanthematous pustulosis
CID000002631,C0438717,transaminases increased
CID000002631,C0859974,neonatal intestinal obstruction
CID000002631,C0332881,pseudarthrosis
CID000002631,C0033816,pseudomonas infection
CID000002631,C0853760,blood potassium increased
CID000002631,C0854133,blood bilirubin increased
CID000002631,C0521498,injection site irritation
CID000002631,C1112488,bradycardia neonatal
CID000002631,C0158288,lumbar spinal stenosis
CID000002631,C0852280,birth trauma
CID000002631,C0743680,eye oedema
CID000002631,C1141930,post procedural complication
CID000002631,C0241128,nikolsky's sign
CID000002631,C0521645,neonatal respiratory acidosis
CID000002631,C0034642,crackles lung
CID000002631,C0861111,cardioactive drug level increased
CID000002631,C0340574,femoral arterial stenosis
CID000002631,C0521648,neonatal respiratory failure
CID000002631,C0549452,localised skin reaction
CID000002631,C0021294,premature baby
CID000002631,C0021296,small for dates baby
CID000002631,C0340909,arteriovenous fistula thrombosis
CID000002631,C0151662,gamma-glutamyltransferase increased
CID000002631,C0151740,csf pressure increased
CID000002631,C0151747,renal tubular disorder
CID000002631,C0854351,renal failure neonatal
CID000002631,C0948393,oedematous pancreatitis
CID000002631,C0235601,hypocoagulable state
CID000002631,C0876991,histiocytosis haematophagic
